Artist,Producer,weight
Chief Keef,Dashius Clay,1
Chief Keef,@twincityceo,1
Chief Keef,Pete Stylez,1
Chief Keef,Trey Sizzle Beatz,1
Chief Keef,Mista Midnight,1
Chief Keef,Dolan,1
Chief Keef,Jack O'Lantern,1
Chief Keef,Snapback On The Track,1
Young Chop,Young J on the Beat,2
Young Chop,ChopsquadDJ,2
Young Chop,Chop Squad,1
Young Chop,CBMIX,3
Young Chop,Takeoveronthebeat,1
Young Chop,L-Finguz,1
Young Chop,Ghostrage,1
Young Chop,Johnny Maycash,1
Young Chop,808 Mafia,1
Young Chop,Hollywood J,1
Kanye West,Mike Dean,25
Kanye West,Karriem Riggins,1
Kanye West,Jon Brion,11
Kanye West,Charlie Heat,4
Kanye West,Puff Daddy,2
Kanye West,Velous,2
Kanye West,Allen Ritter,2
Kanye West,88-Keys,3
Kanye West,Q-Tip,2
Kanye West,Noah Goldstein,5
Kanye West,French Montana,1
Kanye West,"Brian ""All Day"" Miller",1
Kanye West,Warren Trotter,1
Kanye West,Malik Jones,1
Kanye West,Jeff Bhasker,5
Kanye West,Rosie Danvers,1
Kanye West,DJ Premier,3
Kanye West,Lex Luger,4
Kanye West,Nottz,1
Kanye West,StarGate,1
Kanye West,Seth MacFarlane,1
Kanye West,DJ Dodger Stadium,2
Kanye West,DJ Toomp,4
Kanye West,Daft Punk,4
Kanye West,Lido,1
Kanye West,DJ Frank E,1
Kanye West,Arca,3
Kanye West,TNGHT,1
Kanye West,"Carlos ""6 July"" Broady",1
Kanye West,Robert Glasper Experiment,1
Kanye West,J Dilla,2
Kanye West,Tyler,1
Kanye West, The Creator,1
Kanye West,Hudson Mohawke,3
Kanye West,Eric Danchild,1
Kanye West,Che Pope,1
Kanye West,No I.D.,4
Kanye West,Brian Miller,1
Kanye West,A-Trak,1
Kanye West,Hit-Boy,3
Kanye West,RZA,2
Kanye West,Bink!,1
Kanye West,Devo Springsteen,2
Kanye West,Young Chop,1
Kanye West,The Individualz,1
Kanye West,Swizz Beatz,4
Kanye West,Ellen DeGeneres,1
Kanye West,The Ellen DeGeneres Show,2
Kanye West,TM88,1
Kanye West,Metro Boomin,2
Kanye West,Southside,2
Kanye West,Havoc,3
Kanye West,Rick Rubin,2
Kanye West,Eric Hudson,2
Kanye West,Mitus,3
Kanye West,Sinjin Hawke,4
Kanye West,Cashmere Cat,4
Kanye West,Ahmad Jamal,1
Kanye West,S1,5
Kanye West,Ackeejuice Rockers,1
Kanye West,Travis Scott,1
Kanye West,Warryn Campbell,2
Kanye West,Dom Solo,1
Kanye West,Evian Christ,1
Kanye West,TIME Magazine,1
Kanye West,Jay Z & Kanye West,1
Kanye West,BBC Radio,1
Kanye West,Mike WiLL Made-It,1
Kanye West,Lifted (Producer),1
Kanye West,Salva,1
Kanye West,Plain Pat,1
Kanye West,Madlib,1
Kanye West,Melbeatz,1
Kanye West,Paul McCartney,1
Kanye West,Andrew Dawson,1
Kanye West,Menace (UK),1
Kanye West,Boi-1da,1
Kanye West,Brodinski,1
Kanye West,Gesaffelstein,1
Kanye West,Timbaland,1
Kanye West,Sway,1
Kanye West,Evidence,1
Kanye West,"Kyambo ""Hip Hop"" Joshua",1
Kanye West,Gee Robertson,1
Kanye West,"Kareem ""Biggs"" Burke (Executive Producer)",1
Kanye West,Dame Dash (Executive Producer),1
Kanye West,Jay Z (Executive Producer),1
Kanye West,!llmind,1
Kanye West,Lil Jon,2
Kanye West,"Andrew ""Pop"" Wansel",1
Kanye West,Just Blaze,1
Kanye West,Chance The Rapper,1
Kanye West,Caroline Shaw,1
Kanye West,Jim Joe,1
Common,Dug Infinite,2
Common,No I.D.,60
Common,Hi-Tek,4
Common,Andre Harris,1
Common,Karriem Riggins,18
Common,​will.i.am,2
Common,J Dilla,23
Common,The Roots,2
Common,The Neptunes,9
Common,Jamie Foxx,1
Common,Pino Palladino,5
Common,James Poyser,18
Common,Questlove,13
Common,Kanye West,22
Common,The Twilite Tone,3
Common,Mr. DJ,2
Common,Ynot,3
Common,D'Angelo,4
Common,Kelo,1
Common,Killa D,1
Common,Solange,1
Common,Raphael Saadiq,1
Common,Mike Chav,1
Common,Aramis Riley,1
Common,DJ Dummy,1
Common,9th Wonder,1
Common,PK (Rapper),1
Common,"Leon ""RoccStar"" Youngblood Jr",1
Common,A-Trak,1
Common,Spike Rebel,2
Common,The Beatnuts,1
Common,Jeff Lee Johnson,2
Common,2 pc. DRK,2
Common,Frank Dukes,1
Common,Large Professor,1
Common,D-True,3
Common,DJ Premier,1
Common,Pete Rock,1
Common,J. Period,1
Common,DJ Keynote Speakaz,1
Common,Cocaine 80's,1
Common,Robert Glasper,2
No I.D.,Dug Infinite,1
The Cool Kids,Chuck Inglish,31
The Cool Kids,1500 or Nothin',1
The Cool Kids,DJ Don Cannon,3
The Cool Kids,Old Young,1
The Cool Kids,The Neptunes,1
The Cool Kids,The Productionix,1
The Cool Kids,JP Keller,1
The Cool Kids,Dj Cannon,1
The Cool Kids,Travis Barker,1
The Cool Kids,Pharrell Williams,1
Crucial Conflict,Wildstyle,2
Crucial Conflict,Ralph Leverston,1
Da Brat,Jermaine Dupri,21
Da Brat,Kanye West,1
Da Brat,Manuel Seal,4
Da Brat,Sage the Gemini,1
Diverse,RJD2,2
