ID,Title,Artist,URL,Release Date,Producer,Featured Artist,Sample
1742387,My New Christmas List,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-my-new-christmas-list-lyrics,2014-12-24,"Jairus ‘J-Mo’ Mozee,Joe Syring",Jerreau of Fly Union,
748562,"New BJ The Chicago Kid ft. Kendrick Lamar, Schoolboy Q and Punch",BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-new-bj-the-chicago-kid-ft-kendrick-lamar-schoolboy-q-and-punch-lyrics,,,,
2275804,Nothin But Love,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-nothin-but-love-lyrics,2015-08-06,,"Hannibal Buress,Joey Bada$$",
2429220,OMG,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-omg-lyrics,,,Jay Rock,
591467,One In A Million,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-one-in-a-million-lyrics,2014-11-19,,,
2932603,On My Way To Your Heart,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-on-my-way-to-your-heart-lyrics,2016-12-14,,,
494058,Perfect,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-perfect-lyrics,2014-08-11,"BJ The Chicago Kid,Marcus Kincy",,
2104535,Pineapple Now-Laters (Album Art),BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-pineapple-now-laters-album-art-lyrics,,,,
724162,Plai Boi,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-plai-boi-lyrics,2012-02-21,,Boi Josh,
2932633,Plain,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-plain-lyrics,2016-12-14,,,
2971772,Planet Love,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-planet-love-lyrics,,BJ The Chicago Kid,,
516675,Real Love Never Dies,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-real-love-never-dies-lyrics,2014-09-10,James Brown,,
2986684,Roses,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-roses-lyrics,2017-02-13,,,
70179,Sex Is The Best Breakfast,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-sex-is-the-best-breakfast-lyrics,2012-02-21,,,
465554,Sex X Money X Sneakers,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-sex-x-money-x-sneakers-lyrics,2012-02-21,Fly Union,,
2411033,Shine,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-shine-lyrics,2016-02-16,"DJ Reflex,Matthew Edwards",,
113144,Skate,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-skate-lyrics,,,,
222543,Smokin' and Ridin',BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-smokin-and-ridin-lyrics,2013-09-17,BJ The Chicago Kid,"Problem,Freddie Gibbs",
443629,Somebody I Use To Know,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-somebody-i-use-to-know-lyrics,,,,
528202,Soul Of A Woman,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-soul-of-a-woman-lyrics,2014-09-29,Jairus ‘J-Mo’ Mozee,,
594515,Strawberry Bubblegum  ;),BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-strawberry-bubblegum-lyrics,2014-11-19,"BJ The Chicago Kid,Joe Syring",,
2932590,Sweeter Everyday,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-sweeter-everyday-lyrics,2016-12-14,,,
67418,The Big Payback,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-big-payback-lyrics,2012-02-21,,,
2932661,The Lost Files: Cuffing Season [Tracklist & Album Art],BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-lost-files-cuffing-season-tracklist-and-album-art-lyrics,2016-12-15,,,
2421496,The New Cupid,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-new-cupid-lyrics,2016-02-11,"Joe Syring,BJ The Chicago Kid",Kendrick Lamar,"Jean Knight,Isaac Hayes,Raphael Saadiq"
2385318,The Resumé,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-resume-lyrics,2015-12-04,Sean Cooper,Big K.R.I.T.,
66364,The World is a Ghetto,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-world-is-a-ghetto-lyrics,2012-02-21,,Kendrick Lamar,
2155135,The World is a Ghetto GEEmix,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-the-world-is-a-ghetto-geemix-lyrics,,,"Kendrick Lamar,The Winners Circle",
2415367,Turnin' Me Up,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-turnin-me-up-lyrics,2016-02-19,"Jairus ‘J-Mo’ Mozee,David ‘Dae-Dae’ Haddon",,
2927671,Uncle Marvin,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-uncle-marvin-lyrics,2016-12-08,,,Marvin Gaye
2411034,Wait Til the Morning,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-wait-til-the-morning-lyrics,2016-02-16,"Aaron Renner,District 9",,
523597,Wednesday Weekend,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-wednesday-weekend-lyrics,2014-09-22,Mike & Keys,,
592361,What You Do To Me,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-what-you-do-to-me-lyrics,,Brody Brown,Smoke DZA,
465571,White Picket Fence Interlude,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-white-picket-fence-interlude-lyrics,2012-02-21,,,
2411039,Woman's World,BJ The Chicago Kid,https://genius.com/Bj-the-chicago-kid-womans-world-lyrics,2016-02-16,"Cornelio ""Corn"" Austin",,
1832376,Ain't It Man,Boo & Gotti,https://genius.com/Boo-and-gotti-aint-it-man-lyrics,,,,
1807264,Baby Girl,Boo & Gotti,https://genius.com/Boo-and-gotti-baby-girl-lyrics,,,,
1793592,Chicago,Boo & Gotti,https://genius.com/Boo-and-gotti-chicago-lyrics,,,,
1828607,Chi-Town,Boo & Gotti,https://genius.com/Boo-and-gotti-chi-town-lyrics,,,,
1476085,Freestyle,Boo & Gotti,https://genius.com/Boo-and-gotti-freestyle-lyrics,,,,
57684,Debo,Bo Deal,https://genius.com/Bo-deal-debo-lyrics,,,,
96058,Gun Clap,Bo Deal,https://genius.com/Bo-deal-gun-clap-lyrics,2002-11-02,Lex Luger,"Uncle Murda,Chief Keef",
245997,Im A Opp,Bo Deal,https://genius.com/Bo-deal-im-a-opp-lyrics,2013-09-01,,,
275055,Im A Opp (Remix),Bo Deal,https://genius.com/Bo-deal-im-a-opp-remix-lyrics,,,"Leoski D,Co-Still,I.L Will,King Samson,Killa Kellz,Waka Flocka Flame",
76056,Murda,Bo Deal,https://genius.com/Bo-deal-murda-lyrics,2012-09-13,Southside,"Chief Keef,Waka Flocka Flame",
157844,True Story,Bo Deal,https://genius.com/Bo-deal-true-story-lyrics,,,,
191955,We Don't Run From Drama,Bo Deal,https://genius.com/Bo-deal-we-dont-run-from-drama-lyrics,,"JudoBeatz,Yung Kade","P.Rico,Waka Flocka Flame",
3037331,All There (Remix),Queen Key,https://genius.com/Queen-key-all-there-remix-lyrics,2017-02-15,D. Rich,,Jeezy
2411663,Baked As A Pie,Queen Key,https://genius.com/Queen-key-baked-as-a-pie-lyrics,2016-04-20,,,
2873552,Beauty IN A Beast [Tracklist + Album Art],Queen Key,https://genius.com/Queen-key-beauty-in-a-beast-tracklist-album-art-lyrics,2016-06-06,,,
2450788,Been A Fan,Queen Key,https://genius.com/Queen-key-been-a-fan-lyrics,2016-04-20,Leekeleek,Sasha Go Hard,
2976135,Chicken Chicken Freestyle,Queen Key,https://genius.com/Queen-key-chicken-chicken-freestyle-lyrics,2017-02-02,,Lil Twan,Project Pat
2936973,Cocky Bitch,Queen Key,https://genius.com/Queen-key-cocky-bitch-lyrics,2016-12-16,London On Da Track,,Young Thug
2411712,Computers (Remix),Queen Key,https://genius.com/Queen-key-computers-remix-lyrics,2016-04-20,,,
2517066,Cut It (Freestyle),Queen Key,https://genius.com/Queen-key-cut-it-freestyle-lyrics,2016-04-12,,,O.T. Genasis
2819247,Disrespect,Queen Key,https://genius.com/Queen-key-disrespect-lyrics,2016-05-04,Sonny Digital,,21 Savage
2841969,Drip From My Walk Freestyle,Queen Key,https://genius.com/Queen-key-drip-from-my-walk-freestyle-lyrics,2016-04-20,Sci Fi,,
2838414,Exposed,Queen Key,https://genius.com/Queen-key-exposed-lyrics,2016-04-20,,,
2430412,Hit A Lic,Queen Key,https://genius.com/Queen-key-hit-a-lic-lyrics,2016-04-20,Buck Nasty,,​iLoveMemphis
2935100,I'm Rollin,Queen Key,https://genius.com/Queen-key-im-rollin-lyrics,2016-06-06,Southside,,G Herbo
2411680,Killa,Queen Key,https://genius.com/Queen-key-killa-lyrics,2016-04-20,"Roy Thomas Baker,Queen",,Queen
2945558,More Than Money,Queen Key,https://genius.com/Queen-key-more-than-money-lyrics,2017-01-01,HearonTrackz,,
2839726,Need Me,Queen Key,https://genius.com/Queen-key-need-me-lyrics,2016-06-06,DJ Mustard,,
2975274,OOOUUU REMIX,Queen Key,https://genius.com/Queen-key-ooouuu-remix-lyrics,2017-02-03,NY Bangers,,
2824529,Panic,Queen Key,https://genius.com/Queen-key-panic-lyrics,2016-04-21,,,
2850842,Pimp Shit,Queen Key,https://genius.com/Queen-key-pimp-shit-lyrics,2016-08-02,Mike WiLL Made-It,,Gucci Mane
2411671,Queen Shit,Queen Key,https://genius.com/Queen-key-queen-shit-lyrics,2016-04-20,,,
2406932,Queen Shit Part 2,Queen Key,https://genius.com/Queen-key-queen-shit-part-2-lyrics,2016-04-20,,,Queen Key
3037372,Rappers R Cappers,Queen Key,https://genius.com/Queen-key-rappers-r-cappers-lyrics,2017-03-15,Mike WiLL Made-It,,Blac Youngsta
3042668,Role Model,Queen Key,https://genius.com/Queen-key-role-model-lyrics,2016-04-20,,,
2870162,Senile,Queen Key,https://genius.com/Queen-key-senile-lyrics,2016-04-20,D.A. Doman,,Young Money
2939338,Simple Bitches,Queen Key,https://genius.com/Queen-key-simple-bitches-lyrics,2016-10-13,,,
2842112,WTF You Looking At,Queen Key,https://genius.com/Queen-key-wtf-you-looking-at-lyrics,2016-04-20,"Mexikodro,Polo Boy Shawty",,
3059035,Your Highness 2 [Tracklist + Album Art],Queen Key,https://genius.com/Queen-key-your-highness-2-tracklist-album-art-lyrics,2017-04-20,,,
2873550,Your Highness [Tracklist + Album Art],Queen Key,https://genius.com/Queen-key-your-highness-tracklist-album-art-lyrics,2016-04-20,,,
1406738,10 Toes Deep,Canon,https://genius.com/Canon-10-toes-deep-lyrics,,,,
2902217,116 Remix,Canon,https://genius.com/Canon-116-remix-lyrics,,,,
1595780,Bring Me Low,Canon,https://genius.com/Canon-bring-me-low-lyrics,,,,
1831233,Canon Killer,Canon,https://genius.com/Canon-canon-killer-lyrics,,,,
2894670,Common Sense,Canon,https://genius.com/Canon-common-sense-lyrics,2014-01-01,Joyful Noise,"Mau Nu'u,B. Cooper",
240250,Different,Canon,https://genius.com/Canon-different-lyrics,,Dirty Rice,"WordPlay T.JAY,Tony Tillman",
2894680,Dreams,Canon,https://genius.com/Canon-dreams-lyrics,2014-01-01,MPax,"JC,Tony Tillman",
2818391,Eagles,Canon,https://genius.com/Canon-eagles-lyrics,2016-07-07,GROC,,
2852543,Everybody's Physco,Canon,https://genius.com/Canon-everybodys-physco-lyrics,2011-10-04,,,
2900613,Expect Us,Canon,https://genius.com/Canon-expect-us-lyrics,2016-11-04,,"Dab,Eden Myrrh",
2876563,EZ,Canon,https://genius.com/Canon-ez-lyrics,2016-11-04,,,
2955536,Fighters,Canon,https://genius.com/Canon-fighters-lyrics,2017-01-13,Canon,,
243301,Full Plates,Canon,https://genius.com/Canon-full-plates-lyrics,2013-10-13,Canon,,
1816825,Get Yo Big,Canon,https://genius.com/Canon-get-yo-big-lyrics,,,,
176528,Good To Go,Canon,https://genius.com/Canon-good-to-go-lyrics,,,,
514875,Go Off,Canon,https://genius.com/Canon-go-off-lyrics,2014-09-05,Ray Rock,Lucious,
2300351,Grateful,Canon,https://genius.com/Canon-grateful-lyrics,2015-09-11,,,
243312,Grow Up,Canon,https://genius.com/Canon-grow-up-lyrics,2013-10-13,"Yung N Fly,Wit,Dirty Rice",Tragic Hero,
728705,Grow Up (Shades Remix),Canon,https://genius.com/Canon-grow-up-shades-remix-lyrics,,Shades (Producer),Tragic Hero,Galantis
2900620,Hold Up,Canon,https://genius.com/Canon-hold-up-lyrics,2016-11-04,Canon,,
236713,How We Do It,Canon,https://genius.com/Canon-how-we-do-it-lyrics,2013-10-15,GROC,"Thi'sl,Lecrae",
2865025,I Ain't Got Time,Canon,https://genius.com/Canon-i-aint-got-time-lyrics,2016-11-04,Canon,Pearl,
2865016,I'm Back,Canon,https://genius.com/Canon-im-back-lyrics,2016-11-04,,,
1941539,Let Em Have It,Canon,https://genius.com/Canon-let-em-have-it-lyrics,2012-10-16,,,
2876558,Loose Canon Vol. 3 [Album Art + Tracklist],Canon,https://genius.com/Canon-loose-canon-vol-3-album-art-tracklist-lyrics,2016-11-04,,,
243269,Lotto,Canon,https://genius.com/Canon-lotto-lyrics,2013-10-13,"Derek Minor,Canon",Derek Minor,
326804,Loud Music,Canon,https://genius.com/Canon-loud-music-lyrics,2012-10-16,,Derek Minor,
240247,Mad Haven,Canon,https://genius.com/Canon-mad-haven-lyrics,2013-10-15,"Kurt Denmark,GROC,Wit",Xavier Omär,
973537,Man In The Mirror,Canon,https://genius.com/Canon-man-in-the-mirror-lyrics,,,,
243313,Mind Vomit,Canon,https://genius.com/Canon-mind-vomit-lyrics,2013-10-13,"Kurt Denmark,Canon",,
2227421,Motivation,Canon,https://genius.com/Canon-motivation-lyrics,2014-10-07,Canon,Social Club Misfits,
